제목,작가,평점,장르,관심(알림설정) 수
내곁엔 없을까,쑤녕,9.97,['로맨스'],"90,015"
신혼부부 생활 백서,문나영 / 이범배,9.91,"['로맨스', '2030연애', '계약연애', '현실로맨스', '선결혼후연애', '소설원작']","47,121"
헬스던전,도베도베 / 채종,9.73,"['액션', '사이다', '4차원', '이세계', '먼치킨']","34,649"
백설을 위하여,러스츄 / 김햐 / 찬겨울,9.96,"['로맨스', '소설원작']","61,498"
108명의 그녀들,고송 / 레죵,9.96,"['로맨스', '로판', '소설원작']","52,118"
여신님의 호랑이 공략법,아완 / 청라,9.96,"['로맨스', '타임슬립', '동양풍판타지', '인외존재']","48,767"
장미같은 소리,혜진양 / 듀영,9.92,"['스릴러', '연예계']","75,748"
생존고백,박태현,9.96,"['로맨스', '2021', '오컬트']","61,596"
하렘에서 살아남기,전분,9.96,['개그'],"44,845"
완벽한 파트너,산차 / 오하라,9.97,"['로맨스', '소설원작']","59,337"
성애적 순애보,유 / 명,9.75,"['로맨스', '고자극로맨스', '2030연애', '청춘로맨스', '캠퍼스로맨스']","31,484"
노량진 공격대,잭한 / 이리몽,9.53,"['액션', '다크판타지']","24,491"
손 안의 안단테,나윤희,9.97,"['드라마', '음악', '연상연하', '성장드라마', '감성드라마']","57,687"
잿더미 황후,스튜디오BCW / 별보라,9.91,"['로맨스', '소설원작']","40,363"
킬링킬러,아백,9.89,['액션'],"55,118"
DARK MOON: 달의 제단,HYBE,9.8,"['판타지', '뱀파이어']","177,540"
보스의 노골적 취향,팀솜사탕 / 반지은 / 시크크,9.86,"['로맨스', '소설원작']","89,193"
사랑은 없는 것처럼,carbo(도효원) / 김해담,9.86,"['로맨스', '소설원작']","30,613"
신의 재래,홍무제,9.92,"['판타지', '2022', '차원이동', '동양풍판타지', '이능력배틀물', '성장드라마']","32,809"
블러드 리벤저,고백,9.82,"['판타지', '2021']","39,401"
"아마도, 굿모닝",은나 / 솜베 / 우지혜,9.9,"['로맨스', '소설원작']","44,759"
샤인 스타,김현,9.95,"['로맨스', '성장드라마']","68,116"
인생영화,희나리,9.72,"['스릴러', '타임슬립', '서스펜스', '복수극']","16,435"
패션쇼,로커8,9.83,['드라마'],"16,814"
네 것이었던 것,아이아리 / 바밤,9.58,['드라마'],"13,891"
천년간 노려왔습니다,수빈,9.89,['로맨스'],"29,155"
어떤소란,케첩,9.77,"['로맨스', '캠퍼스로맨스']","34,724"
그림자 잡기,최날,9.36,['스릴러'],"6,764"
